Table 3-6 ,"Senate Campaign Expenditures: Incumbents and Challengers, Major Party General Election Candidates by Election Outcome, 1980-2018 (full cycle)",,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Adjusted for inflation, 2018 Mean Net Dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,
,2018,,2016,2014,,2012,,2010,,2008,2006,,2004,2002,2000,1998,1996,1994,1992,1990,1988,1986,1984,1982,1980,1978,1976,1974
,,,,,, ,,,,,,,,,,,,,,,,,,,,,,
Incumbent won with 60% or more,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incumbents,"6,555,575",a,"7,616,465","6,809,850",,"7,783,931",a,"8,299,287",,"5,840,019","8,322,390",,"6,261,655","4,588,537","4,989,950","4,068,123","3,870,554","6,117,615","4,824,591","4,447,090","5,801,883","4,497,794","3,896,272","3,889,109","3,542,270","1,756,447","1,502,061","2,277,963"
,(n=15),,(n=18),(n=13),,(n=12),,(n=13),,(n=17),(n=17),,(n=18),(n=16),(n=20),(n=19),(n=6),(n=10),(n=13),(n=19),(n=15),(n=14),(n=18),(n=13),(n=10),(n=7),(n=11),(n=11)
  Democrats,"7,495,235",,"8,192,918","9,269,425",,"8,845,329",,"9,783,709",,"6,774,470","10,789,054",,"7,632,883","6,671,306","4,898,552","4,823,941","3,628,090","2,941,049","4,763,332","4,686,700","4,924,992","3,831,173","3,917,339","3,647,671","3,719,724","2,153,073","1,502,061","2,277,963"
,(n=9),,(n=6),(n=3),,(n=8),,(n=5),,(n=10),(n=11),,(n=10),(n=6),(n=10),(n=9),(n=2),(n=3),(n=9),(n=10),(n=10),(n=8),(n=7),(n=12),(n=6),(n=4),(n=11),(n=11)
  Republicans,"5,212,081",,"7,328,239","6,071,978",,"6,581,680",,"7,371,523",,"4,505,088","3,800,173",,"4,547,621","3,338,875","5,081,348","3,387,888","3,991,787","7,479,000","4,962,420","4,180,857","7,555,670","5,386,619","3,882,863","6,786,350","3,276,087","1,227,609",0,0
,(n=4),,(n=12),(n=10),,(n=3),,(n=8),,(n=7),(n=6),,(n=8),(n=10),(n=10),(n=10),(n=4),(n=7),(n=4),(n=9),(n=5),(n=6)),(n=11),(n=1),(n=4),(n=3),0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Challengers,"1,555,852",,"1,097,013","1,498,345",,"1,543,595",,"1,670,405",,"1,352,755","2,809,796",,"1,331,452","1,185,804","1,114,917","689,917","1,219,530","1,698,286","1,255,431","1,622,197","1,234,296","1,034,833","928,692","2,024,027","922,794","182,345","759,045","1,135,610"
,(n=16),,(n=17),(n=12),,(n=10),,(n=10),,(n=13),(n=16),,(n=18),(n=10),(n=18),(n=17),(n=3),(n=10),(n=12),(n=16),(n=15),(n=13),(n=15),(n=13),(n=9),(n=6),(n=9),(n=8)
  Democrats,"2,259,866",,"1,532,677","1,939,859",,"460,206",,"2,153,332",,"1,852,345","496,813",,"281,576","1,269,972","708,727","450,988","767,870","2,313,931","1,065,266","842,913","1,708,880","357,078","778,850","1,104,629","810,070","148,115",0,0
,(n=5),,(n=11),(n=9),,(n=1),,(n=5),,(n=6),(n=5),,(n=8),(n=6),(n=9),(n=10),(n=2),(n=7),(n=4),(n=8),(n=5),(n=5),(n=10),(n=1),(n=4),(n=3),0,0
  Republicans,"1,235,845",,"298,296","173,805",,"1,663,972",,"1,187,477",,"924,534","3,861,154",,"2,171,352","1,059,550","1,521,105","1,031,243","2,122,850","261,782","1,350,515","2,401,484","997,003","1,458,430","1,228,380","2,100,649","1,012,973","216,572","759,045","1,135,610"
,(n=11),,(n=6),(n=3),,(n=9),,(n=5),,(n=7),(n=11),,(n=10),(n=4),(n=9),(n=7),(n=1),(n=3),(n=8),(n=8),(n=10),(n=8),(n=5),(n=12),(n=5),(n=3),(n=9),(n=8)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incumbent won with <60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incumbents,"16,867,656",,"15,159,342","13,431,280",,"13,969,949",,"14,131,322",c,"12,762,782","15,668,655",a,"12,528,425","7,571,079","8,367,756","10,181,939","8,086,705","9,000,612","8,144,592","10,132,513","13,235,012","11,945,428","10,889,135","5,787,782","2,881,096","9,614,791","2,223,215","2,891,026"
,(n=14),,(n=10),(n=12),,(n=9),,(n=8),,(n=8),(n=6),,(n=7),(n=8),(n=3),(n=7),(n=13),(n=14),(n=10),(n=12),(n=8),(n=7),(n=7),(n=14),(n=6),(n=8),(n=5),(n=14)
  Democrats,"15,943,378",,"15,792,981","13,485,591",,"16,306,960",,"18,803,302",,"10,557,355","16,009,353",,"11,723,630","8,242,767",0,"10,198,059","10,216,907","10,200,786","5,085,507","10,180,783","14,495,550","25,288,736","4,431,065","6,289,645","2,428,741","2,257,094","5,463,056","3,777,958"
,(n=12),,(n=1),(n=8),,(n=7),,(n=5),,(n=2),(n=3),,(n=3),(n=4),(n=0),(n=5),(n=5),(n=11),(n=4),(n=7),(n=4),(n=1),(n=4),(n=5),(n=4),(n=2),(n=1),(n=4)
  Republicans,"22,413,325",,"15,088,936","13,322,659",,"5,790,411",,"6,344,690",,"13,497,923","12,470,966",,"13,132,020","6,899,391","8,367,756","10,141,637","6,755,329","4,600,599","10,183,982","10,064,935","11,974,473","9,721,543","19,499,894","5,508,970","3,785,804","12,067,359","1,413,256","2,536,257"
,(n=2),,(n=9),(n=4),,(n=2),,(n=3),,(n=6),(n=2),,(n=4),(n=4),(n=3),(n=2),(n=8),(n=3),(n=6),(n=5),(n=4),(n=6),(n=3),(n=9),(n=2),(n=6),(n=4),(n=10)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Challengers,"13,411,077",,"13,053,341","5,293,145",a,"11,069,761",,"10,401,110",,"5,004,919","12,900,136",b,"5,766,061","3,587,355","4,021,209","7,598,638","5,859,071","9,397,625","4,087,349","5,505,666","8,032,985","7,765,706","5,549,474","4,203,344","2,635,618","4,143,901","1,584,154","1,518,525"
,(n=14),,(n=10),(n=12),,(n=8),,(n=8),,(n=8),(n=6),,(n=7),(n=8),(n=3),(n=7),(n=13),(n=14),(n=10),(n=12),(n=8),(n=7),(n=7),(n=14),(n=6),(n=8),(n=5),(n=14)
  Democrats,"29,806,627",,"14,033,547","6,868,727",,"12,714,192",,"1,845,692",,"5,449,876","15,603,732",,"5,636,618","3,443,231","4,021,209","6,630,608","5,635,641","1,752,396","5,427,586","5,625,312","6,811,675","4,561,249","9,736,656","4,240,169","3,472,152","4,671,395","1,246,448","1,295,641"
,(n=3),,(n=9),(n=3),,(n=1),,(n=2),,(n=6),(n=3),,(n=4),(n=4),(n=3),(n=2),(n=8),(n=3),(n=6),(n=5),(n=4),(n=6),(n=3),(n=9),(n=2),(n=6),(n=4),(n=10)
